customer_id,customer_name,email,area,registration_date
97475543,Niharika Nagi,ektataneja@example.org,Udupi,5/13/2023
22077605,Megha Sachar,vedant45@example.com,Aligarh,6/18/2024
47822591,Hema Bahri,samiazaan@example.com,Begusarai,9/25/2024
79726146,Zaitra Vig,ishanvi87@example.org,Kozhikode,10/4/2023
57102800,Januja Verma,atideshpande@example.org,Ichalkaranji,3/22/2024
54748429,Darsh More,ynayar@example.org,Visakhapatnam,4/22/2024
49152878,Patrick Sandhu,zehaanmahajan@example.org,Gwalior,9/13/2024
16379942,Harshil Kuruvilla,pathakanirudh@example.org,Orai,4/10/2024
11071601,Ojas Ahuja,sneha11@example.com,Buxar,7/4/2023
68164013,Netra Chander,hwarrior@example.org,Malegaon,6/29/2023
80404839,Kashish Dora,pushti81@example.net,Katni,4/13/2023
27038630,Megha Thakkar,zinalsarna@example.com,Fatehpur,4/27/2023
1655637,Turvi Radhakrishnan,mpandit@example.org,Ichalkaranji,9/17/2023
75566105,Dipta Doctor,peterdhaliwal@example.org,Hyderabad,3/20/2024
23961725,Zayyan Buch,kalpithayre@example.net,Bhiwandi,5/11/2024
67749649,Oviya Mitra,aaravdugar@example.com,Mira-Bhayandar,4/10/2024
61461253,Arin Setty,naidushivani@example.org,Amravati,8/29/2024
30619659,Lohit Kalla,vincent81@example.com,Kochi,9/18/2024
50229203,Rushil Dhingra,htella@example.org,Tiruchirappalli,9/14/2023
13567338,Wahab Borah,bhattlakshit@example.com,Hubli–Dharwad,10/14/2024
7591711,Triya Kakar,xshetty@example.net,Nagercoil,1/30/2024
22102079,Vrinda Lalla,balakrishnanyutika@example.net,Alwar,6/21/2024
48910430,Janani Prasad,abhirambabu@example.com,Bardhaman,9/4/2024
27604184,Tripti Nadig,tmaster@example.com,Nandyal,10/6/2023
79672044,Jagdish Vora,hemangini55@example.com,Hapur,12/17/2023
13461704,Zayan Ratta,shivansh35@example.com,Nanded,4/4/2024
66135710,Zayan Thakkar,ranveer19@example.net,Ramgarh,11/28/2023
50572914,Ishani Mukherjee,shivani15@example.net,Bihar Sharif,10/21/2023
4386273,Jagrati Sengupta,pandeymahika@example.org,Nandyal,6/26/2024
57537308,Ayush Buch,morejagdish@example.net,Jorhat,5/18/2024
34526442,Harita Chatterjee,gaurika82@example.com,Raipur,9/27/2023
67383024,Riya Kothari,chowdhuryimaran@example.net,Kollam,4/10/2024
28350645,Alka Srinivasan,xtalwar@example.org,Ratlam,1/12/2024
81940369,Nilima Chaudhuri,agrawalmugdha@example.com,Nellore,2/24/2024
89950235,Aarav Dayal,darsh33@example.net,Warangal,12/24/2023
88202341,Jagrati Dubey,vasatika03@example.net,Kottayam,8/20/2023
41155125,Yahvi Doshi,daliaoviya@example.com,Tenali,4/22/2024
46369552,Keya Modi,bbumb@example.org,Jaipur,9/16/2024
48943848,Tarak Nair,atwalmeghana@example.org,Patiala,6/21/2024
39645619,Indira Jaggi,falaksunder@example.org,Maheshtala,6/17/2023
76917159,Hiral Arya,mason40@example.net,Ludhiana,6/23/2024
